Back,Table 10. National income and composition of resources,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,SDG8.1,,SDG10.4,,,,,,,,,,,,,,SDG17.4,,,
,,Gross domestic product (GDP),,,,,,,,,,,,,,,,,,Debts,,,,Prices,
,,Total,,Per capita,,,,"Labour share of GDP, comprising wages and social protection transfers",a,Gross fixed capital formation,, General government final consumption expenditure,,,,Total tax revenue,,"Taxes on income, profits and capital gains",,External debt stock,,Total debt service,,Consumer price index,
HDI rank,Country,(2017 PPP $ billions),,(2017 PPP $),,Annual growth (%),,(%),, (% of GDP),,"Total 
(% of GDP)",,Average annual growth (%),,(% of GDP),,(% of total tax revenue),,(% of GNI),,(% of GNI),,(2010=100),
,,2019,,2019,,2019,,2017,,2014-2019,b,2014-2019,b,2014-2019,b,2014-2019,b,2014-2019,b,2017-2018,b,2018,,2019,
,Very high human development,,,,,,,,,,,,,,,,,,,,,,,,
1,Norway,340.3,,"63,633",,0.5,,52.7,,26.1,,24.4,,1.7,,23.9,,24.6,,..,,..,,120,
2,Ireland,428.8,,"86,781",,4.0,,36.6,,43.4,,12.0,,5.1,,18.3,,42.9,,..,,..,,107,
2,Switzerland,588.5,,"68,628",,0.2,,70.7,,24.1,,11.9,,1.3,,10.1,,24.8,,..,,..,,100,
4,"Hong Kong, China (SAR)",449.6,,"59,893",,-1.9,,54.0,,19.1,,10.8,,5.1,,..,,..,,..,,..,,135,
4,Iceland,20.2,,"55,874",,-0.5,,61.3,,20.2,,24.3,,4.1,,23.4,,24.8,,..,,..,,129,
6,Germany,"4,473.8",,"53,815",,0.3,,60.3,,21.7,,20.3,,2.7,,11.5,,18.0,,..,,..,,113,
7,Sweden,547.2,,"53,205",,0.1,,55.4,,24.4,,26.0,,0.3,,27.9,,15.6,,..,,..,,111,
8,Australia,"1,262.0",,"49,756",,0.4,,57.2,,23.3,,18.9,,4.2,,23.0,,65.2,,..,,..,,120,
8,Netherlands,990.4,,"57,141",,1.2,,63.9,,21.0,,24.4,,1.6,,23.0,,29.1,,..,,..,,116,
10,Denmark,332.7,,"57,184",,1.9,,58.1,,22.2,,24.0,,0.5,,32.4,,43.1,,..,,..,,110,
11,Finland,268.4,,"48,621",,0.9,,56.3,,23.7,,23.1,,0.9,,20.8,,15.9,,..,,..,,112,
11,Singapore,555.2,,"97,341",,-0.4,,49.2,,23.1,,10.3,,2.8,,13.1,,33.3,,..,,..,,114,
13,United Kingdom,"3,121.1",,"46,699",,0.8,,58.0,,17.1,,18.9,,3.5,,25.5,,33.3,,..,,..,,120,
14,Belgium,593.8,,"51,708",,0.9,,62.5,,24.1,,23.2,,1.8,,24.0,,34.0,,..,,..,,117,
14,New Zealand,210.9,,"42,888",,0.6,,51.2,,23.6,,18.5,,3.9,,29.0,,54.2,,..,,..,,114,
16,Canada,"1,843.1",,"49,031",,0.2,,61.0,,22.1,,21.2,,2.1,,12.9,,55.1,,..,,..,,117,
17,United States,"20,575.0",,"62,683",,1.8,,58.6,,20.7,,14.1,,1.7,,9.6,,51.3,,..,,..,,117,
18,Austria,500.2,,"56,352",,1.2,,60.9,,24.3,,19.3,,0.6,,25.4,,27.5,,..,,..,,118,
19,Israel,363.6,,"40,162",,1.6,,53.2,,21.4,,23.0,,4.0,,23.1,,31.7,,..,,..,,108,
19,Japan,"5,231.1",,"41,429",,0.9,,54.2,,24.1,,19.8,,0.9,,11.9,,49.3,,..,,..,,105,
19,Liechtenstein,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,
22,Slovenia,80.8,,"38,689",,1.8,,58.4,,19.3,,18.4,,1.6,,18.6,,12.0,,..,,..,,111,
23,Korea (Republic of),"2,206.0",,"42,661",,1.8,,53.8,,29.8,,17.3,,6.5,,15.6,,30.4,,..,,..,,115,
23,Luxembourg,71.0,,"114,482",,0.3,,56.2,,16.9,,17.1,,4.8,,26.5,,32.4,,..,,..,,115,
25,Spain,"1,924.7",,"40,883",,1.4,,61.2,,20.0,,18.7,,2.3,,14.2,,34.4,,..,,..,,111,
26,France,"3,097.1",,"46,184",,1.4,,61.0,,23.6,,23.1,,1.7,,24.2,,27.5,,..,,..,,110,
27,Czechia,430.1,,"40,314",,2.2,,50.4,,25.5,,20.2,,2.6,,14.9,,15.6,,..,,..,,116,
28,Malta,21.8,,"43,340",,0.6,,48.6,,19.6,,17.3,,12.0,,26.2,,33.8,,..,,..,,113,
29,Estonia,48.7,,"36,710",,4.0,,58.2,,26.1,,19.9,,2.9,,20.9,,20.5,,..,,..,,122,
29,Italy,"2,557.4",,"42,413",,0.5,,57.5,,18.1,,18.8,,-0.4,,24.3,,31.3,,..,,..,,111,
31,United Arab Emirates,655.8,,"67,119",,0.2,,36.8,,17.6,,13.3,,14.3,,0.1,,..,,..,,..,,115,
32,Greece,324.9,,"30,315",,2.0,,50.3,,11.4,,19.5,,2.1,,26.2,,19.4,,..,,..,,102,
33,Cyprus,34.9,,"39,545",,1.9,,48.9,,19.1,,16.4,,11.3,,24.5,,22.9,,..,,..,,103,
34,Lithuania,103.0,,"36,975",,4.5,,47.6,,21.1,,17.0,,0.7,,16.9,,16.8,,..,,..,,118,
